t,H_err,Max_Rho,CM_Left,CM_Right,Radiation,Phase_Shift_Left,Phase_Shift_Right
0.0,5.202620796148363e-09,1.10093180634463,-14.948597069375406,14.948597069373772,3.4016503264178155e-06,0.0,0.0
0.3,3.126372389023472e-06,1.1012473217283323,-14.818739305977678,14.818739305975917,3.4979014187364044e-06,0.0,0.0
0.6,6.24531481752016e-06,1.101334140038724,-14.688892802319973,14.688892802318058,3.520893342434661e-06,0.0,0.0
0.9,9.35995611692388e-06,1.1012093943099355,-14.559068407316788,14.559068407314687,3.6123654446607034e-06,0.0,0.0
1.2,1.2468184107877454e-05,1.1009698152288783,-14.429275667960301,14.429275667957993,3.880535919487116e-06,0.0,0.0
1.5,1.5567621179260145e-05,1.1010113887034034,-14.299522996831087,14.299522996828548,4.104427172024749e-06,0.0,0.0
1.8,1.8655466561326984e-05,1.1013826561901336,-14.169817852365851,14.169817852363046,4.397307558856589e-06,0.0,0.0
2.1,2.1728570807210037e-05,1.1016865533769977,-14.040166677662619,14.040166677659526,4.8661998028887155e-06,0.0,0.0
2.4,2.4783764310812912e-05,1.1018960642752118,-13.910574689108563,13.910574689105166,5.2955000728882595e-06,0.0,0.0
2.7,2.7818217556948727e-05,1.1028397679662518,-13.781045680807528,13.781045680803802,5.789502714681483e-06,0.0,0.0
3.0,3.082958673904801e-05,1.1035500034227186,-13.651581931385644,13.65158193138156,6.479319725416488e-06,0.0,0.0
3.3000000000000003,3.381596052630119e-05,1.104198794357453,-13.522184221515712,13.522184221511262,7.097324465354937e-06,-0.00039373265695274995,0.00039373265695274995
3.6,3.677580823241606e-05,1.1053662344012447,-13.392851934535775,13.392851934530935,7.772933051430897e-06,-0.0004529737521767885,0.0004529737521767885
3.9,3.9708073439816206e-05,1.1061629033021416,-13.263583206386139,13.263583206380888,8.732648379194963e-06,-0.0005087206882130602,0.0005087206882130602
4.2,4.2612363784080006e-05,1.1071751511421208,-13.134375097323653,13.134375097317978,9.599197740683962e-06,-0.0005586401670978347,0.0005586401670978347
4.5,4.548908332582603e-05,1.1082704392556555,-13.005223766857304,13.005223766851188,1.0442493487361482e-05,-0.00060047368181948,0.00060047368181948
4.8,4.8339441565740575e-05,1.1089169981561844,-12.876124641093707,12.876124641087138,1.1395902520860979e-05,-0.0006320897452045671,0.0006320897452045671
5.1000000000000005,5.1165423258435755e-05,1.1101306775910242,-12.747072567079158,12.747072567072122,1.2058716167606676e-05,-0.0006515199198755539,0.0006515199198755539
